id,first_name,last_name,email,address,zipcode,city,stateAbbr,birthday,first_seen,last_seen,has_ordered,latest_purchase,has_newsletter,groups,nb_orders,total_spent,avatar
88,Tyra,Littel,Tyra_Littel68@hotmail.com,,,,,,2024-08-29T10:00:32.618Z,2024-08-31T01:49:53.507Z,false,,true,regular,0,0
598,Orpha,Orn,Orpha_Orn@yahoo.com,,,,,,2024-06-20T05:52:24.264Z,2024-08-30T21:08:47.307Z,false,,true,,0,0
629,Jeffery,Hirthe,Jeffery44@gmail.com,614 Jerde Ranch,49235,Port Ricky,ID,1995-07-07T03:22:57.141Z,2024-08-23T04:33:35.444Z,2024-08-30T20:51:58.984Z,true,2024-08-29T21:29:42.752Z,false,ordered_once;regular;reviewer,1,352.3,https://marmelab.com/posters/avatar-167.jpeg
176,Maci,Gislason,Maci.Gislason@yahoo.com,,,,,,2023-05-10T18:48:39.940Z,2024-08-30T20:40:57.569Z,false,,true,,0,0,
658,Eula,Konopelski,Eula.Konopelski@gmail.com,,,,,,2024-08-15T06:33:04.797Z,2024-08-30T19:52:16.588Z,false,,true,,0,0,
645,Terence,Upton,Terence26@gmail.com,,,,,,2024-07-26T22:51:01.986Z,2024-08-30T19:20:55.838Z,false,,true,,0,0,
48,Dalton,Brekke,Dalton_Brekke@yahoo.com,,,,,,2024-04-12T06:34:17.286Z,2024-08-30T19:07:52.731Z,false,,true,,0,0,
438,Royal,Schneider,Royal.Schneider@gmail.com,,,,,,2024-08-27T02:48:09.219Z,2024-08-30T16:25:45.166Z,false,,true,regular,0,0,
178,Reilly,Stokes,Reilly_Stokes64@yahoo.com,,,,,,2024-08-21T21:24:26.608Z,2024-08-30T16:07:36.763Z,false,,true,regular,0,0,
94,Keven,Collins,Keven_Collins@gmail.com,972 Schinner Extension,78660-1603,Cristchester,NJ,2000-02-24T02:59:04.688Z,2024-08-22T14:18:55.079Z,2024-08-30T15:35:14.015Z,true,,true,,0,0,https://marmelab.com/posters/avatar-24.jpeg
706,Marian,Welch,Marian_Welch@yahoo.com,,,,,,2024-04-30T00:37:38.720Z,2024-08-30T14:21:08.614Z,false,,true,,0,0,
805,Retta,Pouros,Retta_Pouros29@gmail.com,,,,,,2024-08-29T21:47:39.562Z,2024-08-30T10:17:48.500Z,false,,true,regular,0,0,
315,Riley,Goldner,Riley.Goldner@hotmail.com,,,,,,2024-08-28T02:54:02.412Z,2024-08-30T10:15:20.821Z,false,,true,,0,0,
482,Leanna,Rippin,Leanna_Rippin30@gmail.com,71146 Elisabeth Rapids,68841,Dustinview,SC,2021-03-12T04:48:30.097Z,2024-07-17T18:22:58.740Z,2024-08-30T07:44:43.552Z,true,2024-08-28T18:46:40.216Z,false,collector;reviewer,8,1232.3899999999999,https://marmelab.com/posters/avatar-120.jpeg
388,Esmeralda,Littel,Esmeralda.Littel@yahoo.com,,,,,,2024-08-28T13:52:22.994Z,2024-08-30T07:08:55.966Z,false,,true,,0,0,
757,Willard,Erdman,Willard14@hotmail.com,,,,,,2024-07-12T16:45:19.565Z,2024-08-30T06:50:47.383Z,false,,true,,0,0,
601,Helen,Considine,Helen85@gmail.com,652 Elisa Prairie,31794,Emmerichchester,LA,1972-09-17T05:05:22.724Z,2024-08-29T07:30:48.626Z,2024-08-30T06:37:53.618Z,true,2024-08-29T19:35:41.648Z,true,regular,2,159.97,https://marmelab.com/posters/avatar-157.jpeg
